City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
159,sechura,20,BR,1602723917,78,-5.79,-35.21,78.8,8.05
160,ibipeba,20,MY,1602724084,94,1.24,111.46,75.2,3.36
161,jacareacanga,100,AR,1602724157,24,-51.62,-69.22,59,21.92
162,flin flon,56,GL,1602724157,91,72.79,-56.15,31.95,3.2
163,chokurdakh,0,GF,1602724157,80,5.38,-52.95,80.47,10.89
164,byron bay,40,US,1602724158,85,64.5,-165.41,33.01,8.05
165,isangel,100,RU,1602724158,87,63.05,179.32,41.77,12.12
166,cockburn town,0,IR,1602724158,43,36.42,54.98,50.7,2.62
167,jiazi,78,PA,1602724158,92,8.15,-77.69,74.57,2.06
168,chekhov,100,CA,1602724158,96,47.57,-59.14,54.7,23.87
169,guerrero negro,75,BR,1602724158,100,-25.59,-49.41,63,10.29
170,dingle,0,UY,1602724158,90,-34.48,-54.33,51.51,1.34
171,mountain home,78,PA,1602724159,77,9.23,-78.02,79.77,1.03
172,mackay,1,US,1602724159,8,32.77,-108.28,78.8,20.8
173,nisia floresta,0,PK,1602724159,83,29.8,71.72,71.6,3.71
174,natal,1,US,1602723934,55,35.2,-89.87,69.01,4.7
175,sri aman,0,RU,1602724159,65,54.2,49.4,41,2.24
176,rio gallegos,90,CA,1602724159,92,55.74,-97.86,28.4,9.17
177,upernavik,100,BR,1602724159,86,-25.88,-48.57,66.99,7.2
178,sinnamary,20,IN,1602724160,100,19.8,85.85,77,4.7
179,nome,19,ES,1602724160,87,39.89,4.27,50,6.93
180,beringovskiy,100,RU,1602724160,73,59.7,150.17,38.46,7.63
181,shahrud,0,SA,1602724160,30,18.39,42.45,59,5.01
182,louisbourg,22,RU,1602724160,93,66.77,123.37,12.87,2.64
183,yaviza,0,AU,1602724160,45,-17,145.43,84.99,18.34
184,channel-port aux basques,36,CN,1602724160,81,50.78,121.52,28.24,4.85
185,araucaria,0,RU,1602724160,96,63.37,47.92,30.74,3.31
186,rocha,75,NO,1602724161,78,70.37,31.11,41.38,21.09
187,ailigandi,20,MZ,1602724161,85,-23.86,35.35,65.03,7.87
188,belushya guba,40,US,1602724239,63,45.52,-122.68,62.01,8.05
189,silver city,86,LK,1602724161,86,5.95,80.54,78.28,11.95
190,ozgon,90,CA,1602724161,74,58.81,-122.7,28.4,2.24
191,dunyapur,46,NG,1602724007,92,6.58,3.75,75.56,3.76
192,shelby,93,LY,1602723989,61,32.88,13.19,74.08,16.06
193,mullovka,40,CA,1602724161,44,53.22,-106.4,37.4,12.75
194,thompson,0,YE,1602724162,67,14.2,43.32,84.78,4.59
195,guaratuba,0,US,1602724162,80,40.8,-124.16,66.99,7
196,puri,100,LK,1602724162,71,7.42,81.82,79.61,3.65
197,mao,20,JP,1602724162,60,33.73,135.98,69.8,11.41
198,arman,75,NP,1602724162,100,27.63,85.52,64.4,2.24
199,faya,100,ID,1602724162,72,4.14,96.13,79.93,3.24
200,zhigansk,0,CA,1602723889,68,49.63,-105.98,37.26,10.67
201,mareeba,30,RU,1602724163,75,44.63,135.35,34.27,10.94
202,genhe,5,BR,1602724163,57,3.08,-59.95,82.94,6.78
203,blagoyevo,0,IR,1602724028,55,27.15,57.08,64.4,4.7
204,saleaula,100,ID,1602724163,75,-2.88,108.27,76.73,3.06
205,vardo,100,RU,1602724163,91,47.55,47,50,9.1
206,maxixe,100,RU,1602724163,94,58.6,125.39,18.68,14.27
207,portland,75,PT,1602724163,83,37.72,-25.43,69.8,10.29
208,matara,0,SA,1602724146,28,29.97,40.21,73.4,5.75
209,fort nelson,20,NC,1602724163,61,-21.69,165.68,80.6,14.99
210,lagos,75,JP,1602724164,93,35.73,140.83,63,12.75
211,tripoli,40,US,1602724164,43,20.89,-156.47,91.4,11.41
212,shellbrook,40,RU,1602724164,58,53.05,158.65,50,8.95
213,zabid,92,GA,1602724164,81,-2.65,10,74.75,7.18
214,eureka,100,CN,1602724164,91,30.63,117.85,60.66,8.75
215,grand centre,100,ID,1602724164,74,1.74,98.78,79.57,3.29
216,kalmunai,35,AU,1602724165,18,-31.95,141.43,82.4,20.8
217,shingu,100,NO,1602724165,76,67.67,12.69,45.1,11.07
218,banepa,0,PE,1602724165,82,-13.7,-76.22,64,12.75
219,meulaboh,50,ID,1602724165,53,-9.66,120.26,87.19,9.53
220,assiniboia,100,BR,1602724165,83,-20.33,-40.29,80.01,6.93
221,krasnorechenskiy,75,PF,1602724165,69,-17.73,-149.15,80.6,9.17
222,bonfim,0,ZA,1602724165,77,-33.59,26.89,58.23,10
223,minab,100,NZ,1602724165,71,-39.88,176.63,50,13
224,manggar,62,MG,1602724029,90,-25.17,45.05,62.6,6.82
225,sasykoli,93,NO,1602724165,78,70.98,25.97,42.21,25.77
226,aldan,54,PG,1602724166,67,-2.57,150.8,84.63,3.49
227,vila franca do campo,100,ID,1602724166,74,-7.95,110.28,81,6.91
228,sakakah,40,PT,1602724166,93,38.73,-27.07,68,7.81
229,moindou,100,GW,1602724166,77,11.28,-15.83,82,6.26
230,mys shmidta,0,SE,1602724166,93,63.29,18.72,35.6,10.29
231,hasaki,1,US,1602723963,6,34.48,-114.32,100.4,1.48
232,kahului,71,SD,1602724166,15,13.6,26.69,84.78,3.8
233,petropavlovsk-kamchatskiy,40,BR,1602724166,100,-4.38,-70.03,73.4,2.24
234,gamba,0,KZ,1602724167,53,45.32,55.2,49.77,10.54
235,rongcheng,100,VN,1602724167,88,17.48,106.6,77.68,6.82
236,vaitupu,58,RU,1602724167,87,59.38,143.3,30.22,10.92
